mag_x (uT),mag_y (uT),mag_z (uT)
3.268362268135220461e+01,-1.669013877013695397e-03,3.779363129553635758e+01
3.269972836912801029e+01,-3.884977345765650448e-03,3.779740775610788006e+01
3.268078144525314599e+01,-4.895904904249081396e-03,3.778220198779555972e+01
3.269075138736969421e+01,-4.309586399877683363e-06,3.780430416904896163e+01
3.270684523104944219e+01,1.454129894492556946e-02,3.777569480722353745e+01
3.269315069225699943e+01,1.233037500936853305e-02,3.779260714945932165e+01
3.269676891779257488e+01,8.361682047925702091e-03,3.777699063475304797e+01
3.269173422975817545e+01,-4.859528093846105477e-03,3.779661360528402980e+01
3.268939341740180993e+01,-6.310730037409787579e-03,3.778541473726076561e+01
3.269667903797953556e+01,-1.051181120257164807e-02,3.778221543849114283e+01
3.270243371915535846e+01,-6.184218200429081325e-03,3.778733316087479466e+01
3.269827198022357351e+01,1.684403347313123342e-02,3.779181153380023517e+01
3.267928512612668612e+01,5.504504154685990920e-03,3.778662057695022725e+01
3.271106283275746307e+01,1.082127797140599972e-02,3.778634069383520711e+01
3.270826241856862993e+01,1.166912668382470665e-03,3.776987766768100130e+01
3.270225626811337349e+01,1.114394587861236921e-02,3.779545968026966563e+01
3.268859153125105621e+01,3.853197478560876601e-05,3.777631358370964421e+01
3.270135416555827135e+01,-3.888303738570243881e-04,3.778283437139121048e+01
3.269611235487882794e+01,-1.337989551844356341e-02,3.777367014080257945e+01
3.270448875377893927e+01,-5.959213330368311363e-03,3.778699285050858947e+01
3.267499985631835813e+01,-8.903563276856109841e-04,3.778251567294307733e+01
3.268828731672902421e+01,3.291694398987833614e-03,3.777865477802620120e+01
3.268895778076080205e+01,6.621080461438027219e-03,3.780055390287677852e+01
3.268943280661173389e+01,-2.240392987182491906e-03,3.777135504701212909e+01
3.266803341840984842e+01,1.308125462493030071e-02,3.777165102299897370e+01
3.268134787227975835e+01,2.577301794076536454e-03,3.778334810950448031e+01
3.269101647322374760e+01,-2.112305130433060705e-03,3.777396341703926197e+01
3.270455828742489501e+01,-2.291903857011868065e-02,3.778387576969524986e+01
3.270222889071917649e+01,-8.396946963426464225e-03,3.777673847814624963e+01
3.269660120812280724e+01,1.511711837150565840e-02,3.780480006613725408e+01
3.270697062002064825e+01,1.096309767154036996e-02,3.780283882832223696e+01
3.268546398280219023e+01,-7.494334113585202940e-03,3.779300840859913535e+01
3.269735722184032056e+01,-8.134291147837070801e-03,3.778887060763289441e+01
3.270174310593266398e+01,3.101539201690228700e-03,3.777862249473522382e+01
3.271015537802186657e+01,4.517634636947582757e-03,3.778567186256484689e+01
3.269933992480468987e+01,-3.923643911546942191e-03,3.777667324355202538e+01
3.268763129632135644e+01,-1.750579809288135488e-02,3.778372317546104853e+01
3.269611038061565012e+01,1.407645766584673767e-02,3.778615841111233209e+01
3.268227326869408245e+01,7.983082246924717504e-03,3.777989289535303641e+01
3.268926690428771309e+01,-2.695668105595468590e-03,3.778367483271583183e+01
3.268736555632329299e+01,1.749142237136232236e-02,3.777442448105843198e+01
3.268336883183712160e+01,4.214659531566895476e-03,3.778296626485840903e+01
3.268828170668921018e+01,1.549833415902926621e-02,3.779366720203764629e+01
3.268477642853565612e+01,9.435878165993298941e-03,3.780598786930971755e+01
3.269489637186888586e+01,1.777449312191279468e-02,3.778094559766319804e+01
3.271207550215819992e+01,-1.724669360767928580e-02,3.779812107675321897e+01
3.271591043443474689e+01,-1.239694217605999925e-02,3.778359797980134971e+01
3.268883981869119282e+01,-6.664326474159585657e-03,3.779130613424712948e+01
3.269682576460819945e+01,2.240344395525902790e-04,3.778312641017494400e+01
3.267304692474447592e+01,1.166138109974908590e-02,3.777321380515716243e+01
