gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.606099433058011047e-02,-9.363207489769225303e-03,3.102353704144694690e-02
1.050080971508202815e-02,-9.670700684489162355e-03,8.036751097200128119e-03
-6.397886109841326163e-02,-3.551929160014399844e-02,2.216404217512161004e-02
1.043653683361709696e-02,2.365826301702111598e-02,-2.368732276729905439e-02
-1.053588582477966128e-02,1.408303119064835927e-02,-7.910102700130681314e-03
4.145952957368483766e-02,-7.565573661062520439e-02,6.111649210887942080e-02
-1.813850545216574503e-02,9.632004386555639841e-02,1.579936120832485871e-02
3.617824680000527454e-02,-3.507826649437677247e-02,4.347543941715657778e-02
7.885314495797804413e-02,8.818714632598374792e-02,-6.273843866537238967e-03
3.469313790223737398e-02,-1.102806684232322289e-02,5.125610609524269834e-02
3.479488282892500423e-02,-1.628338700317836368e-02,1.108128715395114566e-01
-3.353297834749622425e-02,-7.233572175200539368e-04,-2.398032524535611762e-02
-3.551480927448995295e-02,2.706706951402312183e-02,-1.026858934172019018e-02
-1.422332574697578872e-02,-6.959637270167502721e-02,-2.124855940207417970e-02
-8.512823906315654388e-02,3.172305495638536726e-02,6.313868314587281830e-03
-3.155357457871972582e-02,-7.510664666362854014e-03,-6.363364249420051279e-03
-1.338604298924877221e-02,-2.228826912305997485e-02,1.922617364219387365e-02
-3.213253393539194230e-02,-2.188179033378304800e-02,-1.035877476613599607e-01
8.031055165580790189e-02,-3.399191121768159463e-02,-8.984476597366261412e-04
7.049016348776467045e-02,-2.250563780266999492e-02,-7.843003720055095884e-02
1.160210375614125107e-02,2.524891845968414011e-02,2.481584075870137823e-02
6.021090588927940912e-02,1.652026833762149441e-02,-8.839005442251395006e-02
9.718028679362653022e-04,-8.529250854861221420e-02,8.519879468212657181e-02
-8.427264750789793465e-03,-3.727021407441196560e-02,-1.982007809619553557e-02
4.049168255287331764e-02,-4.023758858442503389e-03,3.529425127764179021e-02
1.879339473208267372e-02,8.037133429411252861e-02,-5.276931381197123849e-02
-3.264894702042345220e-02,4.807426148470554661e-02,5.831847052107748050e-03
8.790748043477930596e-03,-4.905036651989205104e-02,2.443358557586561286e-02
4.811598016877246392e-02,2.914811962234904394e-02,9.728752629358101978e-02
-1.098861769798155119e-04,-7.363988181967803803e-02,1.482080119091482885e-02
7.370776935617153088e-03,-2.414467443285156154e-02,-4.842615068738423401e-02
-5.469518761633835463e-02,1.765834717648200047e-02,5.031752669720297028e-02
-4.495996742080013431e-02,9.078066699062309342e-02,-3.365497942159029199e-02
-2.621937575129968875e-02,1.351819500639848404e-01,5.220445348115784062e-02
-7.869476886501103330e-02,5.167671079354681923e-02,7.995119210148252109e-02
6.656466886728946986e-02,2.311117445888342600e-02,2.900311494586696112e-02
-3.211491465359652634e-03,-4.296832881184473735e-02,-4.530141459818375765e-02
-6.773867543771767974e-02,-4.406842987575643124e-04,3.042989289427347130e-02
2.339636447130245475e-02,-2.349687307919878440e-02,3.673380825597078597e-02
-5.969968528978050575e-03,-7.022264063315972193e-02,-8.364564499035864395e-03
3.848483006725059077e-04,5.732460464819344459e-02,1.134408874184277168e-02
-4.109319436676903137e-02,1.624004791794789182e-02,-6.084782379200245808e-04
-9.819160103321517008e-02,3.109697152690125282e-02,-6.016815049861827525e-02
2.880959035045158045e-02,-7.383889867837431509e-02,-9.132603722431531794e-05
-3.224746718523283096e-02,-3.504158843604054940e-02,9.114912021379631760e-03
2.459964549042366333e-02,1.888375858112471481e-02,-1.505531111906847387e-02
1.009008816306067270e-03,-3.146141249112888866e-02,-4.374810230133871491e-02
5.082809593700410300e-02,3.053316242609230291e-02,-1.870364720813492976e-02
1.122172293691786754e-01,6.818686518886170160e-03,1.281052484361838890e-02
-1.283258184546367912e-02,2.880235938231793733e-02,6.655139698951584998e-03
-6.984973675626220992e-03,2.988701084667568647e-02,6.731427213391955044e-02
-5.607856506500057125e-02,7.508185237733926848e-03,-6.486542986234847784e-03
4.716234839655351029e-03,-3.992568840271306513e-02,-2.035622793749601914e-04
-3.820415310694427052e-02,-2.753454869343352485e-02,-7.990686052240575030e-03
-1.259358807144084214e-02,4.825325557384346244e-03,6.827901027486304834e-03
2.534650177626953521e-02,-9.506343752629690946e-02,5.043911766581060663e-02
4.379530496224396524e-02,-1.122273479852645972e-01,-7.134950432793435438e-02
-7.643620612070868223e-03,5.164155705860211387e-02,3.755277699443331646e-02
-1.007919516574778684e-01,3.608798347988200622e-02,1.680370912637295377e-02
4.771620132857407048e-02,-5.621218342317530967e-03,-4.701214548364589241e-02
6.246563347134592888e-03,-1.652721330665160929e-02,-2.459744747308624177e-02
-1.408699883032118322e-02,3.989121523369808242e-02,-1.614608737237442550e-03
1.428092551765891560e-02,6.687783648917930771e-03,-2.043319619628165482e-02
-2.739849121066451412e-02,-2.475841730796037379e-02,-6.172739233504530992e-02
-9.013654802441238741e-04,-9.129967588280893387e-02,6.513434353222877227e-02
7.896203732759897453e-02,-6.454114179968785045e-03,-1.582521511300561540e-02
-5.103785429208525931e-02,-2.808208853445630024e-02,1.603467344092211061e-02
-4.907081543329729761e-02,-6.082137490246021343e-03,-6.839507626995164347e-02
-5.828218785282229114e-02,-2.809171671024930997e-02,5.763867947814993453e-02
4.446252822997822512e-02,-1.999462784407546377e-04,-1.801475629636339545e-02
5.296743663326506507e-02,4.810707571772114555e-02,4.467252086138320810e-02
5.869949417172894146e-02,5.099613211445398753e-03,4.695042252734264732e-02
4.772823825443721357e-02,1.936655886400720852e-02,-6.630206012665922077e-02
-5.227998590121248068e-02,-4.073381420700285249e-02,5.758194150499278130e-02
-1.906554929229268419e-02,4.605930840683945815e-02,-5.839362061638939116e-02
7.890991839791006157e-02,-9.178448405740292915e-02,1.142518662859658141e-02
2.277661455353003489e-02,-2.144032112816810984e-02,1.439976275181671476e-02
-3.138214053452314384e-02,-6.516990190124010568e-03,-5.311857173089758882e-02
6.727942440253657785e-02,2.018413107787742772e-02,-1.289918586591796111e-02
-3.429155346244207314e-02,7.751959967101300190e-03,-5.267411801953489348e-02
3.548890828109171197e-02,3.974450487229466700e-02,-4.389640519439503424e-02
-5.857407700703172460e-02,-7.831158590290926425e-02,7.639598707827938151e-02
-2.389542530050624281e-02,2.530771962153717178e-02,-2.504214080439066265e-02
5.955135765225211958e-02,-2.671361343078735781e-02,-9.517557862121077406e-02
2.374600479381563933e-02,-1.238059131740027602e-02,1.934151175705459483e-02
4.858259520184875224e-02,-2.490018982233416570e-02,1.685840211151810311e-03
4.488669580657573383e-04,2.659503122701039127e-02,-1.976178112803111953e-02
5.165045346986012025e-03,-1.943831790256714265e-02,1.755789910100103574e-02
6.678257837147262566e-02,1.838820055873104098e-02,4.007972729990496273e-03
2.478978114907496449e-02,-7.738164777338604750e-02,-9.158898210806951101e-02
-1.302394812361899919e-02,-2.793461093115014865e-02,1.107509733806370626e-02
-1.168031592928080453e-01,2.387797507972994754e-02,1.316700764197172371e-02
5.740979291629344158e-03,-4.667964204825560126e-02,-6.262114671796836785e-02
-1.139380758394488609e-02,-1.408141628630624198e-02,-3.672589993218571686e-02
-5.876944680514001318e-03,-2.883020397237296036e-03,-1.823265579807658437e-02
6.614389791197497481e-02,-4.087752330166063985e-02,-4.826484370183131006e-02
-1.791763722447977866e-02,-4.080897214473414719e-02,-4.648285931241041141e-02
-2.932134226239238237e-02,-1.351502473054659245e-02,2.900622523245755327e-02
-1.155893004679513746e-02,6.295434142353323499e-03,-4.700624245950743574e-02
2.517549366084314774e-02,-1.553928631153055420e-02,-5.337043046923056061e-02
-3.513577289154195399e-02,6.274944270370666488e-02,1.580124901360581077e-02
9.926663080017508745e-03,-2.240983372055374914e-02,-2.927022216033226334e-02
-3.682459180537860175e-03,1.302276069388720037e-01,-9.649943407307923736e-04
9.708534431789393737e-03,5.624172422633740703e-02,5.834629622091717233e-02
-5.475493010253626447e-02,-4.235446411122440608e-02,-1.425144126678117365e-02
1.872265457331540039e-02,1.567507227700170799e-02,4.238062582891446994e-02
2.915700560997180196e-02,-1.741736268771771788e-03,-1.080642546422591610e-01
1.819213274394526625e-02,-2.829629933415562029e-02,-7.266483187578739664e-03
