accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.741417992019932874e-03,3.760817036401360291e-03,-9.792764915019716909e+00
-6.469015313963974445e-04,-6.180486524625775774e-03,-9.790993358857587481e+00
9.305479252582269517e-03,-5.190217350286461737e-03,-9.786319169029148668e+00
-4.409406739604151623e-03,-5.950825669414055302e-04,-9.800778058425990480e+00
-8.580332321058734696e-03,-2.654940191883414270e-03,-9.796397899971664103e+00
1.511417847255844401e-03,4.273826919206543881e-03,-9.799903763629991715e+00
1.908376511884891285e-03,6.919788886491979284e-03,-9.800587371708081363e+00
1.951100514357636878e-03,5.313928013100707032e-03,-9.802045247060808819e+00
2.749555091052049895e-03,1.051610328400227933e-03,-9.791989219718379545e+00
3.561420183682886646e-03,2.761605838681627928e-03,-9.799414060596539855e+00
9.121839285630732250e-03,-3.246758409415253198e-03,-9.795563742364842952e+00
2.273047474035111339e-03,-1.009444673546648109e-02,-9.790955818713536374e+00
-2.429902381568101177e-03,1.720853699545677731e-03,-9.803334172634281529e+00
-3.561132877657751869e-03,6.530735029457703823e-03,-9.783638252893906539e+00
-5.041604442443499250e-03,-5.656514269652536051e-03,-9.786449874158105189e+00
5.518422475921044151e-03,-1.491580133181007184e-03,-9.788105347161355496e+00
-2.734068492933315348e-03,1.089143338936747257e-03,-9.785944905035778518e+00
8.822214087714221834e-04,1.025763821331570529e-03,-9.797269794836077850e+00
-4.912904409547451563e-03,-8.799644043755851068e-04,-9.791356597883213553e+00
-2.493059396484933153e-03,5.595726726909789825e-03,-9.802708109999048958e+00
-7.405259811858041705e-04,7.742426462172026513e-03,-9.791290953792412211e+00
6.132207823600880833e-03,-4.911389082512664588e-05,-9.793874486784702071e+00
-3.906111402304162077e-03,1.959767482021540583e-03,-9.791308380063410866e+00
-4.135107205827880626e-03,-4.077991717699398604e-03,-9.792069914123798569e+00
8.590531514622790771e-03,-4.540262565650910430e-03,-9.800631176241287434e+00
1.046287407015545744e-03,9.642828275254838877e-03,-9.796817634851892720e+00
-6.217836338491917678e-04,-6.287048196690875985e-04,-9.794212334193762359e+00
-6.235815667347448590e-04,-3.027443605294495837e-03,-9.790973974192649365e+00
5.101038500842296035e-03,-3.668627972496106039e-03,-9.793585514524091096e+00
-6.981265967869078673e-03,-1.275060021822169674e-02,-9.796658019917687810e+00
4.314873872198933188e-03,-3.279155615857469799e-03,-9.785247164851927693e+00
7.655228931108792531e-03,1.251487089190930595e-02,-9.790620206684343074e+00
5.731810733947974822e-03,5.905950137809478327e-03,-9.792498390063506974e+00
3.431682827421954438e-03,1.114854154273892247e-03,-9.798003843785480171e+00
3.698224936541889894e-04,2.228967776547990942e-03,-9.795927296329947964e+00
5.403031603999534395e-03,-1.847647499349117399e-03,-9.798554317831953853e+00
-2.659388083099353974e-06,-4.053803635515117881e-03,-9.796084775661642041e+00
-9.136533643547295816e-03,2.268233872200343774e-03,-9.783278912179486753e+00
1.251653240862039482e-02,3.959296373595099471e-03,-9.795868668837751869e+00
-9.121578319259230141e-03,4.768973297526884342e-03,-9.798008392734200100e+00
9.329480735794523855e-04,7.498120992070421084e-03,-9.794796424197627971e+00
-5.483627481287303446e-04,8.773878987394352624e-03,-9.788975172703779037e+00
1.219835574225412202e-02,4.848263836987537663e-03,-9.790330461757017488e+00
-1.500897209097541533e-03,-5.971233150929230321e-03,-9.796520120332713688e+00
-5.503446392513129150e-03,-3.632935791070965141e-03,-9.789984284013604210e+00
8.615762285815698265e-03,-5.534967307988336235e-03,-9.794888604440245672e+00
-3.184484446061401370e-03,-9.394654004487848140e-03,-9.800286255131172908e+00
-5.692657065956796721e-03,-5.373013442323460245e-03,-9.794060445718933750e+00
-6.750818238835240223e-03,7.473025384348842143e-03,-9.791287028500290646e+00
-1.307494426742541018e-03,-1.579945245574046909e-03,-9.795119992761494032e+00
-2.410925495976868043e-03,-4.298966665824231238e-03,-9.791801384208767445e+00
-7.172441944979800026e-03,-2.458388620816449183e-03,-9.791789315348212952e+00
-1.404448756404500648e-03,3.003832435569043623e-03,-9.795832852068572905e+00
-2.401256705922470702e-03,2.728178021756639832e-03,-9.792351713718689510e+00
-1.062965669179515753e-03,2.777907348905308323e-03,-9.793097488609985746e+00
-4.683173229525425252e-04,-7.718565413476177924e-03,-9.796588742941944261e+00
1.494184043469312531e-03,-2.222954479014947575e-03,-9.793890013508185888e+00
1.905188829035498388e-04,2.495914680797201284e-04,-9.804242020079339426e+00
1.784298615707841183e-03,-2.061083761560477453e-03,-9.799716173220506477e+00
8.258227916131408511e-03,4.857944686271925029e-03,-9.794977820533746993e+00
-7.653800898326995139e-04,-1.089007747912835522e-03,-9.799704097200363506e+00
-9.788671505110938410e-04,-2.668259843701537969e-03,-9.791050389161142675e+00
3.482425120715701146e-04,4.709131507032403123e-03,-9.787059401418249038e+00
2.719955303905557432e-03,5.525936528079075649e-03,-9.788441261226353163e+00
-5.168030782908886699e-03,2.852682947117707660e-03,-9.793833249728477242e+00
-1.000980793101085729e-03,1.848285371307444502e-04,-9.791713448057610236e+00
1.957121644750662616e-03,-1.631456585341700119e-03,-9.792739910767821243e+00
-4.814422705764615645e-03,6.718987294855147292e-04,-9.795820200397422184e+00
-8.924274378337690222e-04,3.645066791548362637e-03,-9.797276664016747461e+00
-1.463567561297853935e-03,1.021466150301843408e-02,-9.796019069423465453e+00
-7.765679958793988806e-03,1.193373110356951705e-02,-9.798542662609213139e+00
7.345165855050517223e-03,5.826398542356272517e-04,-9.797886188006707187e+00
-1.024398778649227059e-03,-1.918309303703802544e-03,-9.790046363946700581e+00
6.487020136112050042e-03,-8.232345071057889027e-03,-9.792064943393706145e+00
2.205811832670614113e-03,-7.101886728175511171e-03,-9.797113073672816697e+00
-6.198195302416987379e-03,1.625044826854898537e-03,-9.796313847724405832e+00
-1.008634023690262865e-03,2.890890646762351700e-03,-9.800347290799445332e+00
-9.787276634343399992e-03,9.857239658864976745e-03,-9.793152431381191292e+00
-1.508240872074157780e-03,7.492214178073767182e-03,-9.789567614100683102e+00
-2.631646402255760891e-03,-8.119706745284999486e-03,-9.792036088092411106e+00
-1.092786500629978376e-02,-4.302685016745776310e-03,-9.792372276458728209e+00
4.166061460392795485e-03,4.090961733887287476e-03,-9.795198693816727697e+00
7.402608871513255634e-04,1.194533315388591338e-03,-9.801791765311465454e+00
4.599496036285545542e-04,9.758886670193624375e-04,-9.793127436820645570e+00
1.072052434043556509e-03,-5.107332696950488225e-04,-9.798685409130413859e+00
-4.562822733211068481e-03,-4.106702093617055349e-03,-9.789933941850716081e+00
-7.309880818331721333e-03,1.496163174175738726e-03,-9.792782362480211944e+00
-1.401717288126840552e-03,-1.824889552994062979e-03,-9.793024281468957426e+00
-2.147149104923555193e-03,8.871555062703248562e-03,-9.793264965183432480e+00
2.486997048608711146e-03,-3.443340708049430748e-03,-9.795960781277234020e+00
-7.682619721148496728e-03,-8.405690966356323471e-03,-9.784216818158574469e+00
2.507666675447191643e-03,-4.816266410726716130e-03,-9.793625691101642161e+00
-8.833997482597991634e-05,6.231891988422201545e-03,-9.784649493210030968e+00
-4.712147122785934929e-03,1.849253134810758831e-03,-9.794256315814390490e+00
-2.193016256928430677e-03,-6.132988932159921108e-03,-9.796258826750037230e+00
