gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707024947874459438e+06,4.688712061758752912e+06,3.360438910326181445e+06,-3.182229239467307055e-03,-8.298613605492889678e-02,-1.090910797866214560e-01
-2.707030923219089862e+06,4.688715388843161985e+06,3.360432061951867770e+06,-9.154733952544071018e-02,5.385584157321623294e-03,-8.249916309371331871e-03
-2.707032574066917412e+06,4.688711565098228864e+06,3.360431472337957937e+06,-8.208562881845712922e-02,-6.084238415800181932e-02,1.561473130536874566e-03
-2.707023889480429236e+06,4.688712187821785919e+06,3.360430781058282126e+06,2.092924162173350269e-02,3.847955327650433299e-02,-1.111410289845253356e-02
-2.707031870156907011e+06,4.688711933555392548e+06,3.360428720571724698e+06,-7.859668156350745061e-02,6.227156266702704029e-02,-4.716335600861563948e-03
-2.707020099497720599e+06,4.688702370374304242e+06,3.360433766393496655e+06,-2.132248989742523138e-02,-7.234797728938925643e-02,3.223474854830025993e-02
-2.707027709664104506e+06,4.688715990517970175e+06,3.360435790365178604e+06,1.499476980919918316e-02,-1.844500805327254148e-02,-2.003811089155628066e-03
-2.707029945771522820e+06,4.688710845415731892e+06,3.360436925111181103e+06,-4.387098051101551849e-02,-1.887009127570627278e-04,-6.811175923488075115e-03
-2.707024614939553197e+06,4.688709803533716127e+06,3.360425274019930512e+06,-4.212537178986085207e-02,7.958756570891675763e-02,3.064029328590020529e-02
-2.707031832060128450e+06,4.688708738103052601e+06,3.360425832010700833e+06,5.271253389318319299e-02,7.913104202534002041e-02,1.707979046246075466e-02
-2.707034483677429147e+06,4.688718118444715627e+06,3.360429698768098373e+06,-2.683807284079359895e-02,-7.735557473441126430e-02,-1.912914796959012606e-02
-2.707028192070748657e+06,4.688708532924531028e+06,3.360442977127808146e+06,-2.147346600711830603e-03,5.630571269189447309e-02,3.337323240186775702e-02
-2.707027421392952092e+06,4.688711743110034615e+06,3.360426559309848584e+06,-2.678205568206409870e-02,-5.245723012775906080e-02,-1.520895775892676730e-02
-2.707034031164144166e+06,4.688713107413410209e+06,3.360433941364019178e+06,4.300521139966101414e-02,1.996916604239487233e-02,-4.018866008636988105e-04
-2.707021365208299831e+06,4.688708833714362234e+06,3.360424436572299805e+06,-5.183795026156712282e-02,-3.942000551904657063e-02,-5.903863593372959268e-02
-2.707032022359334864e+06,4.688709526727998629e+06,3.360443644149512984e+06,7.260331728954738661e-02,3.558804824585182908e-02,7.274131939013510698e-03
-2.707031350816297345e+06,4.688708818892798387e+06,3.360439674574598204e+06,-1.175554014104805700e-02,6.040515621371146671e-02,-2.789820113411271146e-02
-2.707025199455222581e+06,4.688709190923905931e+06,3.360426360674642492e+06,-2.943037947043159602e-02,3.184351100362414061e-02,1.510069668710793938e-03
-2.707027478891917970e+06,4.688708582133485004e+06,3.360419657228041906e+06,4.791078653795540626e-02,3.582921748267797052e-02,-3.437131438544979017e-02
-2.707029756593509577e+06,4.688706519805652089e+06,3.360425513415229041e+06,-6.349285326392023476e-02,4.637216885192997629e-02,-3.652097669097927740e-02
-2.707032558790273499e+06,4.688722487769164145e+06,3.360428149387403857e+06,1.875012019324043266e-02,-1.241588774729982317e-02,6.764972261956914146e-02
-2.707027145810963586e+06,4.688710027607761323e+06,3.360443500406458974e+06,2.246449585624007636e-02,-4.050285888743216517e-02,4.724751287747001698e-03
-2.707028166194982361e+06,4.688709036028418690e+06,3.360420796305688098e+06,-3.759291416484453197e-02,-9.451312990824922711e-02,1.245250382105779485e-02
